Facility Name,Address 1,Address 2,Address 3,City,State,Zip Code,Phone,Fax,,,,
Adair County Memorial Hospital,609 SE Kent St,,,Greenfield,IA,50849,641743-7211,641743-7218,,,,
Adams County Regional Medical Center,230 Medical Ctr Dr,,,Seaman,OH,45679,937386-34003460,937386-3489,,,,
Adams Memorial Hospital,1100 Mercer Avenue,,,Decatur,IN,46733,260724-214511080,260728-3856,,,,
Addison Gilbert Hospital,298 Washington St,,,Gloucester,MA,1930,978283-4000123,978491-6576,,,,
Adena Fayette Medical Center,1510 Columbus Avenue Suite 110,,,Washington Court House,OH,43160,740333-2743,740333-2937,,,,
Adena Health Center,272 Hospital Rd.,,,Chillicothe,OH,45601,740779-7711,740779-7406,,,,
Adena Health Center - Waverly,12340 State Route 104,,,Waverly,OH,45690,740779-8221,740779-7406,,,,
Adena Health Center - Western Avenue,55 Centennial Boulevard,,,Chillicothe,OH,45601,740779-7711,740779-7406,,,,
Adirondack Health at Saranac Lake,2233 State Rt 86,,,Saranac Lake,NY,12983,518891-41412750,518897-2260,,,,
Adirondack Radiology North Country,170 Carey Road,,,Queensbury,NY,12804,518793-1000,518793-1976,,,,
Adriatica Women's Health OB/GYN PLLC,6609 Virginia Pkwy,,,McKinney,TX,75071,972542-8884,972746-2422,,,,
Advance Cardiovascular Imaging Inc,10260 SW 56TH ST,Ste102,,Miami,FL,33165-7021,305270-7855,305270-7857,,,,
Advance Technological Radiology PA,24040 N US Highway 27,,,Lake Wales,FL,33859,863419-8832,863508-6314,,,,
Advance Technological Radiology, P.A.,315 Central Avenue East,,,Winter Haven,FL,33880,863421-9393,863295-5719,,,
Advance Technological Radiology, P.A.,2235 N Blvd. West,,,Davenport,FL,33837,863421-8674,863421-2615,,,
Advanced Diagnostic Breast Center at Henrico Doctors Sarah C,7607 Forest Avenue,Suite 210,,Richmond,VA,23229,804200-7035,804289-5679,,,,
Advanced Diagnostic Radiology, LLC,952 Seton Dr.,,,Cumberland,MD,21502,301777-3522,301777-1902,,,
Advanced Imaging,3920 Hwy 93 North,Suite F,,Stevensville,MT,59870,406327-3950,406327-3955,,,,
Advanced Imaging Center,2803 South Ave West,,,Missoula,MT,59804,406327-3950,406327-3955,,,,
Advanced Imaging Center,3275 N. Reserve Ste. A,,,Missoula,MT,59808,406327-5120,406327-3855,,,,
Advanced Imaging Center,607 W Ave. Q,,,Palmdale,CA,93551,661456-2020,661456-2021,,,,
Advanced Imaging Center at Adventist Health Lodi Memorial,1031 South Fairmont Ave,,,Lodi,CA,95240,209339-7505,209333-8263,,,,
Advanced Imaging Center, LLC,615 Valley View Dr. Suite 101,,,Moline,IL,61265,309743-0445126,309764-4712,,,
Advanced Imaging Concepts PL,13470 Taft Street,,,Brooksville,FL,34613,352597-0016,352597-0089,,,,
Advanced Imaging of Alabama,1699 Golden Springs Rd.,,,Anniston,AL,36207,256835-0835,256835-1939,,,,
Advanced Imaging of Gadsden,820 South 4th St.,,,Gadsden,AL,35901,256549-0008,256543-0514,,,,
Advanced Imaging Specialists,1000 Meade St,,,Dunmore,PA,18512,570504-2500,570504-2599,,,,
Advanced Medical Imaging,875 S Cottonwood Rd  Suite 150,,,Bozeman,MT,59718,406414-5201,406414-5205,,,,
Advanced Medical Imaging,905 Highland Blvd., Ste. 4100,,,Bozeman,MT,59715,406414-5200,406414-5205,,,
Advanced Medical Imaging,1200 S 2nd St. Ste. 2-B,,,McAllen,TX,78501,956686-8422,956661-2135,,,,
Advanced Medical Imaging,2008 West Blvd,,,Kokomo,IN,46902,765454-9729,765454-9766,,,,
Advanced Medical Imaging,7601 Pioneers Blvd.,,,Lincoln,NE,68506,402484-6677,402484-4802,,,,
Advanced Medical Imaging Northpointe,6771 N Palm Ave,,,Fresno,CA,93704,559835-070060704,559835-0728,,,,
Advanced Medical Img. of  Englewood Hosp & Med. Ctr,452 Old Hook Rd.,Suite 301,,Emerson,NJ,7630,201894-3146,201608-2413,,,,
Advanced MRI & CT Institute,Road PR-2 Marginal D-10,Urb, Villa Real,,Vega Baja,PR,693,787807-0900,787855-2729,,,
Advanced Radiology -  Cross Roads,4801 Dorsey Hall Dr., Ste. 101,,,Ellicott City,MD,21042,443436-1600,443436-1602,,,
Advanced Radiology - Aiello,203 Hospital Dr, Ste 100,,,Glen Burnie,MD,21061,410918-3260,410918-3262,,,
Advanced Radiology - Annapolis,116 Defense Hwy, Ste LL100,,,Annapolis,MD,21401,888972-9700,443436-4875,,,
Advanced Radiology - Arundel Mills,7556 Teague Rd,,,Hanover,MD,21076,443729-8100,443729-8102,,,,
Advanced Radiology - Dundalk,1576 Merritt Blvd. Ste. 1,,,Baltimore,MD,21222,410918-3150,410918-3161,,,,
Advanced Radiology - Eldersburg,1430 Progress Way, Ste. 107-108,,,Eldersburg,MD,21784,443436-1300,443436-7132,,,
Advanced Radiology - GBMC Pavilion,6701 N Charles St.,Suite 3103,,Towson,MD,21204,410580-2301,410580-2321,,,,
Advanced Radiology - Glen Burnie,200 Hospital Dr., Ste. LL20,,,Glen Burnie,MD,21061,888972-9700,443663-6980,,,
Advanced Radiology - Harford,201 Plumtree Road,Suite 101,,Bel Air,MD,21015,443640-2501,410918-3302,,,,
Advanced Radiology - Lutherville,1209 York Rd., Ste. 100,,,Lutherville,MD,21093,410580-2240,410580-2270,,,
Advanced Radiology - Medical Arts,9101 Franklin Sq Dr, Ste 102,,,Baltimore,MD,21237,410918-3460,410918-3431,,,
Advanced Radiology - Owings Mills,21 Crossroads Dr. Ste. 120,,,Owings Mills,MD,21117,888972-9700,410654-1166,,,,
Advanced Radiology - Perry Hall,4211 Blakely Ave Ste 100,,,Baltimore,MD,21236,443588-6221,410918-3359,,,,
Advanced Radiology - St. Joe's,7501 Osler Dr,Bldg A Ste 204,,Towson,MD,21204,410580-6000,410427-2552,,,,
Advanced Radiology - Timonium,2080 York Rd, Ste 160,,,Timonium,MD,21093,443436-4700,443436-4780,,,
Advanced Radiology Consultants - Fairfield,1055 Post Road,,,Fairfield,CT,6824,203337-9729,203459-0116,,,,
Advanced Radiology Consultants - Stamford,1259 East Main Street,,,Stamford,CT,6902,203337-9729,203459-0116,,,,
Advanced Radiology Consultants Stratford,2876 Main Street,,,Stratford,CT,6614,203337-9729,203459-0116,,,,
Advanced Radiology Imaging Associates, LLC,13731 Metropolis Ave.,,,Ft. Myers,FL,33912,239333-2742,239333-4329,,,
Advanced Radiology Medical Group, Inc.,7715 E Garvey,,,Rosemead,CA,91770,626280-0431,626280-6840,,,
Advanced Radiology- Maiden Choice,724 Maiden Choice Ln Ste 302,,,Baltimore,MD,21228,410747-9303,443514-1290,,,,
Advanced Radiology- Pomona,1700 Reisterstown Rd., Ste. 112,,,Baltimore,MD,21208,410580-2100,410580-2170,,,
Advanced Radiology-Fisher,193 Stoner Ave, Ste 200,,,Westminster,MD,21157,443487-5701,443436-1328,,,
Advanced Radiology-Shipley's Choice,8601 Veterans Highway,Suite 100,,Millersville,MD,21108,443308-0300,410987-0251,,,,
Advanced Radiology-Wilton,60 Danbury Road,,,Wilton,CT,06897-4457,203337-9729,203459-0116,,,,
Advanced Shore Imaging Associates,2605 Shore Road, Ste 101 & 102,,,Northfield,NJ,8225,609380-4175,609377-8249,,,
Advanced Southern Imaging LLC- Mobile,1390 Business Center Dr SW  700,,,Conyers,GA,30094,844337-2837,706608-8296,,,,
Advanced Southern Imaging, LLC-Mobile 2,1390 Business Center Drive,suite 700,,Conyers,GA,30094,844337-2837,706608-8296,,,
Advanced Women's Imaging by Saint Francis Hospital,400 Court Street, Suite 201A,,,Charleston,WV,25322,304347-6166,304347-6167,,,
Advanced Womens Imaging Center,15 Corporate Dr,,,Trumbull,CT,6611,203337-9794,203459-0116,,,,
Advantage Radiology,3049 Ocean pkwy,suit 303,,BROOKLYN,NY,11235,718265-1000,718265-1002,,,,
Advent Health - Lenexa,23401 Prairie Star Pkwy Suite 130,,,Lenexa,KS,66227,913676-8540,913676-8537,,,,
Advent Health Heart of Florida,40100 US Highway 27 North,,,Davenport,FL,33837,863272-7091,863419-2478,,,,
Advent Health North Pinellas,1395 S Pinellas Ave,,,Tarpon Springs,FL,34689,727942-5180,727943-3498,,,,
Advent Health Tampa- Kay Meyer Breast Care Center,3000 Medical Park Drive,Suite 100,,Tampa,FL,33613,813615-7107,813615-8110,,,,
Advent Health Waterman,1000 Waterman Way,,,Tavares,FL,32778,352253-33333700,352253-3231,,,,
Advent Health West Florida Imaging Inc.,14055 Riveredge Dr.,Suite 250,,Tampa,FL,33637,813601-1925,813436-8437,,,,
AdventHealth - Westmont Imaging Center,6311 S Cass Ave.,,,Westmont,IL,60559,630856-7070,630856-4067,,,,
AdventHealth Apopka,2100 Ocoee Apopka Rd.,Womens Center,,Apopka,FL,32703,407200-0538,407609-7287,,,,
AdventHealth Breast Surgery at Davenport,40124 US Hwy 27,Suite 207,,Davenport,FL,33837,863421-7276,863421-7109,,,,
AdventHealth Carrollwood,7171 North Dale Mabry Highway,,,Tampa,FL,33614,813558-8025,813558-8021,,,,
AdventHealth Central Texas,2201 South Clear Creek Road,,,Killeen,TX,76549,254519-8537,254519-8413,,,,
AdventHealth Durand,1220 3rd Ave. W.,,,Durand,WI,54736,715672-3517,715672-3801,,,,
AdventHealth Gordon,1035 Redbud Road,,,Calhoun,GA,30703-7013,706602-4518,706602-4519,,,,
AdventHealth Hendersonville,100 Hospital Drive,,,Hendersonville,NC,28792,828681-2799,828681-2724,,,,
AdventHealth Imaging Altamonte Springs,661 E Altamonte Dr, Ste 130,,,Altamonte Springs,FL,32701,407303-2273,407303-2259,,,
AdventHealth Imaging Celebration,380 Celebration Place,,,Celebration,FL,34747,407303-4831,407303-4523,,,,
AdventHealth Imaging Center - New Tampa,8702 Hunters Lake Drive,Suite 150,,Tampa,FL,33647-2855,813467-4750,813467-4798,,,,
AdventHealth Imaging Center Apopka,1480 W. Orange Blossom Trail,,,Apopka,FL,32712,407303-2273,407598-9266,,,,
AdventHealth Imaging Center Clermont,1919 E. Highway 50,Suite 101,,Clermont,FL,34711,407303-2273,352717-3739,,,,
AdventHealth Imaging Center Innovation Tower,265 East Rollins Street, Suite 1000,,,Orlando,FL,32804,407303-2273,407303-1420,,,
AdventHealth Imaging Center Port Orange,5821 S. Williamson Blvd,Suite 101,,Port Orange,FL,32128,386917-5428,386231-2952,,,,
AdventHealth Imaging Center Roeland Park,5675 Roe Blvd,,,Roeland Park,KS,66205,913632-2634,913632-2635,,,,
AdventHealth Imaging Center-Westchase,10987 Sheldon Road,,,Tampa,FL,33626,813467-4850,813467-4898,,,,
AdventHealth Imaging Deltona,1745 STERLING SILVER BLVD,SUITE 101,,DELTONA,FL,32725,386917-5428,386917-7501,,,,
AdventHealth Imaging East Orlando,7975 Lake Underhill Rd., Ste. 100,,,Orlando,FL,32822,407303-2273,407303-6555,,,
AdventHealth Imaging Lake Mary,775 Primera Blvd.,,,Lake Mary,FL,32746,407333-9766,407829-7915,,,,
AdventHealth Imaging Lake Nona,9975 Tavistock Lakes Blvd,Suite 120,,Orlando,FL,32827,407834-8722,407303-0887,,,,
AdventHealth Imaging Ormond Beach,335 Clyde Morris Blvd, Ste 250,,,Ormond Beach,FL,32174,386671-4785,386898-0257,,,
AdventHealth Imaging Oviedo,8000 Red Bug Lake Road. Suite 120,,,Oviedo,FL,32765,407303-2273,407977-7431,,,,
AdventHealth Imaging Palm Coast,120 Cypress Edge Dr., Ste. 103,,,Palm Coast,FL,32164,386586-1650,386586-1690,,,
AdventHealth Imaging Partin Settlement,2488 E. Irlo Bronson Memorial Highway,Suite 101,,Kissimmee,FL,34744,407303-2273,407861-3337,,,,
AdventHealth Imaging Sebring,2950 Alt. 27 South,Ste C,,Sebring,FL,33870,863402-3383,863402-5379,,,,
AdventHealth Imaging South Asheville,15 Skyland Inn Drive,,,Arden,NC,28704,828681-2799,828681-2724,,,,
AdventHealth Imaging Waterford Lakes,12301 Lake Underhill Rd   113,,,Orlando,FL,32828,407949-644411636,407277-4911,,,,
AdventHealth Imaging Winter Garden,2200 Fowler Grove Blvd,Suite 060,,Winter Garden,FL,34787,407614-0565,407614-0563,,,,
AdventHealth Imaging Womens Center Deland,151 Victoria Commons Blvd. Suite   101,,,Deland,FL,32724,386943-4610,386734-4781,,,,
AdventHealth Imaging-New Smyrna Health Park,125 Florida Memorial Parkway,Imaging,,New Smyrna Beach,FL,32168,386409-6827,386409-6904,,,,
AdventHealth Kissimmee,2450 N Orange Blossom Tr,,,Kissimmee,FL,34744,407303-7500,407933-6646,,,,
AdventHealth Lake Wales,410 S 11th St.,,,Lake Wales,FL,33853,863679-6858,863678-3931,,,,
AdventHealth Manchester,210 Marie Langdon Drive,,,Manchester,KY,40962,606262-6931,606598-1243,,,,
AdventHealth Murray,707 Old Dalton Ellijay Road,,,Chatsworth,GA,30705,706517-2064,706517-3714,,,,
AdventHealth New Smyrna Beach,401 Palmetto Street,,,New Smyrna Beach,FL,32168,386424-5046,386424-5077,,,,
AdventHealth Ottawa,1301 S. Main,,,Ottawa,KS,66067,785229-3340,785248-2918,,,,
AdventHealth Palm Coast,60 Memorial Medical Pwky.,,,Palm Coast,FL,32164,386586-4402,386586-4618,,,,
AdventHealth Rollins Brook,608 North Key Avenue,Mammography Dept,,Lampasas,TX,76550,512556-36822226,512564-2283,,,,
AdventHealth Sebring,4200 Sun 'N Lake Blvd.,,,Sebring,FL,33872,863402-7575,863402-3449,,,,
AdventHealth Shawnee Mission,9100 West 74th Street,,,Shawnee Mission,KS,66201,913676-2486,913789-3212,,,,
AdventHealth South Overland Park Women's Imaging,7840 W. 165th Street,Suite 150,,Overland Park,KS,66223,913676-2505,913789-3889,,,,
AdventHealth Wauchula,735 S 5th Ave,,,Wauchula,FL,33873,863402-3383,863402-5379,,,,
AdventHealth Wesley Chapel,2600 Bruce B downs Blvd.,,,Wesley Chapel,FL,33544,813929-53275325,813929-5321,,,,
AdventHealth Willowbrook Mammography Center,545 Plainfield Rd,,,Willowbrook,IL,60527,630286-5719,630286-5975,,,,
AdventHealth Women's Center Winter Park,100 N. Edinburgh Dr. Suite 101,,,Winter Park,FL,32792,407646-7798,407646-7880,,,,
AdventHealth Zephyrhills,7050 Gall Blvd.,,,Zephyrhills,FL,33541,813779-6278,813779-6279,,,,
Adventist Health Adventist Medical Center,10201 SE Main St. Ste 24,,Sheree Basham,Portland,OR,97216,503251-6137,503261-6709,,,,
Adventist Health and Rideout Center for Women's Imaging,945 Shasta Street, Suite 150,,,Yuba City,CA,95991,530751-5410,530751-5414,,,
Adventist Health Bakersfield,9602 Stockdale Hwy,,,Bakersfield,CA,93311,661633-5001,661633-2500,,,,
Adventist Health Breast Care Center - Hanford,125 Mall Drive,Suite 203,,Hanford,CA,93230,559537-2300,559537-2303,,,,
Adventist Health Castle,640 Ulukahiki St.,,,Kailua,HI,96734,808263-51916105,808263-5411,,,,
Adventist Health Clear Lake Hospital,15322 Lakeshore Dr. no. 204,,,Clear Lake,CA,95422,707995-5760,707994-8917,,,,
Adventist Health Delano,1401 Garces Hwy-Building A,,,Delano,CA,93215,661721-5788,661375-5373,,,,
Adventist Health Glendale,1509 Wilson Terrace,,,Glendale,CA,91206,818409-84446,818863-4990,,,,
Adventist Health Medical Imaging Oakhurst,48677 Victoria Ln,,,Oakhurst,CA,93644,559692-8651,559692-8693,,,,
Adventist Health Mendocino Coast,700 River Drive,,,Fort Bragg,CA,95437,707961-4665,707961-4780,,,,
Adventist Health Physicians Network 821 S St. Helena Hwy 2,821 So. St. Helena Hwy suite 2,,,St. Helena,CA,94571,707963-1912,707963-3439,,,,
Adventist Health Reedley dba Adventist Med Ctr Reedley,372 W Cypress Ave,Medical Imaging Department,,Reedley,CA,93654,800990-7607,800537-2313,,,,
Adventist Health Simi Valley Nancy Reagan Breast Center,2750 Sycamore Dr,,,Simi Valley,CA,93065,805955-8115,805955-8146,,,,
Adventist Health Sonora Health Pavilion,900 Mono Way,,,Sonora,CA,95370,209536-3437,209536-3509,,,,
Adventist Health Tehachapi Valley,1100 Magellan Dr.,,,Tehachapi,CA,93561,661771-8885,661771-8393,,,,
Adventist Health Tillamook,1000 Third St.,,,Tillamook,OR,97141,503815-2292,503842-3062,,,,
Adventist Health Tulare,869 Cherry,Medical Imaging Department,,Tulare,CA,93274,559366-1121,559685-3828,,,,
Adventist Health Ukiah Valley,1165 S. Dora St., Ste D,,,Ukiah,CA,95482,707468-9335,707468-0302,,,
Adventist Health Ukiah Valley,245 Hospital Drive,,,Ukiah,CA,95482,707463-7342,707463-7392,,,,
Adventist Health- Bakersfield,2700 Chester Avenue,,,Bakersfield,CA,93301,661637-8708,661633-2500,,,,
Adventist Medical Center-Selma,1141 Rose Avenue,,,Selma,CA,93662,559856-7330,559856-7332,,,,
Adventist Plainfield Imaging and Outpatient Center,15720 S. Route 59,,,Plainfield,IL,60544,630312-3300,815436-7748,,,,
Advocate Aurora Health Oak Lawn,9555 S. 52nd Ave,,,Oak Lawn,IL,60453,708634-092110634,708634-0936,,,,
Advocate Aurora St. Luke's South Shore,5900 S Lake Dr.,Radiology Dept,,Cudahy,WI,53110,414489-4579,414489-4169,,,,
Advocate Christ Center for Breast Care,4545 W. 103rd St.,,Barbara Williamson,Oak Lawn,IL,60453,708684-1000,708684-4369,,,,
Advocate Condell Medical Center,801 S Milwaukee Ave,,,Libertyville,IL,60048,847990-2844,847573-4237,,,,
Advocate Condell Medical Center,1435 Hunt Club Rd,,,Gurnee,IL,60031,847990-60006935,847599-7372,,,,
Advocate Good Samaritan OP Ctr Downers Grove,6840 S Main St,,,Downers Grove,IL,60516,708304-9400,630275-5770,,,,
Advocate Good Shepherd OP Ctr - Crystal Lake,525 Congress Parkway,,,Crystal Lake,IL,60014,815479-7380,815479-7390,,,,
Advocate Good Shepherd OP Ctr-Lake Zurich,350 Surryse Rd., Ste. 140,,,Lake Zurich,IL,60047,847842-4380,847842-4804,,,
Advocate Illinois Masonic Medical Center,3000 North Halsted, Suite 220 - MOC,,,Chicago,IL,60657,708304-9700,773296-3020,,,
Advocate Medical Group - Irving and Western,4025 N. Western Ave.,,,Chicago,IL,60618,773279-6535,773279-6791,,,,
Advocate Medical Group - Sykes,2535 S. Martin Luther King Dr.,,,Chicago,IL,60616,312674-5094,312842-1948,,,,
Advocate Medical Group Orland Park,9550 West 167th St,,,Orland Park,IL,60467-5561,708873-45008406,708873-4533,,,,
Advocate Medical Group-Beverly,9831 South Western Ave.,,,Chicago,IL,60643,773445-3500,773298-2865,,,,
Advocate Medical Nesset Radiology,1775 Ballard Rd,,,Park Ridge,IL,60068,847318-2796,847318-2933,,,,
Advocate Outpatient Center,77 Rand Road,,,Des Plaines,IL,60016,847460-7412,847460-7344,,,,
Advocate Outpatient Center Radiology,13900 Quality Drive,,,Huntley,IL,60142,847961-78007820,847961-7811,,,,
Advocate Sherman Hospital,1425 N. Randall Rd,,,Elgin,IL,60123,224783-8972,224783-2960,,,,
Advocate Sherman Imaging Center - Randall,1710 N Randall Rd,Suite 180,,Elgin,IL,60123,708304-9350,224783-2823,,,,
Advocate Sherman Outpatient Center -  Algonquin,600 S. Randall Road,,,Algonquin,IL,60102,708304-9350,224783-2960,,,,
Advocate Sherman Outpatient Center - South Elgin,2000 McDonald Rd.,,,South Elgin,IL,60177,224783-8972,224783-2960,,,,
Advocate South Suburban Hospital,17800 S Kedzie Ave.,,,Hazel Crest,IL,60429,708213-3729,708213-0108,,,,
Advocate Trinity Hospital,2320 E. 93rd St,,,Chicago,IL,60617,773967-5403,773967-3954,,,,
AE Diagnostics, LLC,dba Go Imaging,23818 Hwy 59 N,,Kingwood,TX,77339,281358-3800,,,,
AG Radiology Imaging Center, LLC,601 Park Grove Drive,,,Katy,TX,77450,832321-3434,832321-5031,,,
Aguada Medical Radiology,Carr. 115 Km. 24.5,Bo. Asomante,,Aguada,PR,602,787589-7433,787589-7434,,,,
AHC Racine Dept. of AMC-Kenosha, WI.,8400 Washington Ave.,,,Racine,WI,53406,262321-3025,262321-3031,,,
AHCI Piper Breast Center - Coon Rapids,11850 Blackfoot Street NW, Suite 300,,,Coon Rapids,MN,55433,763236-0818,763236-6065,,,
AHN Grove City,631 North Broad Street Extension,,,Grove City,PA,16127-9703,724450-7420,724450-7430,,,,
AHN Hempfield Imaging,6321 Route 30,Suite 200,,Greensburg,PA,15601,724671-1700,724523-7725,,,,
AHN Outpatient Center Waterworks,970 Freeport Road,,,Pittsburgh,PA,15238,412325-5007,412696-0381,,,,
AHS Pryor Hospital,LLC  dba Hillcrest Hospital Pryor,111 N Bailey,,,Pryor,OK,74361,918824-6450,918824-6333,,,
AICI-Mammo,800 Independence Blvd.,Radiology Department,,Virginia Beach,VA,23455,757363-6383,757363-6474,,,,
AID System LLC,A8 65 Infanteria UB San Agustin,,,Rio Piedras,PR,924,787740-3010,787740-3009,,,,
Akira Medical Imaging + Wellness,400 Patroon Creek Blvd,Suite 104,,Albany,NY,12206,518239-5200,518616-7200,,,,
AKMC dba Allegheny Valley Hospital, Radiological Imaging,2801 Freeport Rd,,,Natrona Heights,PA,15065,724226-1840,724226-8440,,,
Akron Gen. Reflections Breast Hlth Ctr - Akron,1 Akron General Avenue,,,Akron,OH,44307,330344-7757,330344-5842,,,,
Akumin,2000 NE 45th Street,,,Ft Lauderdale,FL,33308,954492-8151,954772-7753,,,,
Akumin,6500 Fort Caroline Rd., Ste. B,,,Jacksonville,FL,32277,904745-5900,904745-3737,,,
Akumin,4171 Roosevelt Blvd.,,,Jacksonville,FL,32210,813467-6109,855855-0050,,,,
Akumin,2020 Professional Center Dr.,,,Orange Park,FL,32073,904696-8400,904696-8447,,,,
Akumin   Langhorne,825 Town Center Drive, Suite 100,,,Langhorne,PA,19047,215750-1760,215750-1615,,,
Akumin  Northeast,8001 Roosevelt Blvd,Ste 104,,Philadelphia,PA,19152,215331-9100,215331-9102,,,,
AKUMIN - Coral Springs Women's Center,2232A N University Drive,,,Coral Springs,FL,33071,954753-3800,954753-1645,,,,
Akumin Boot Ranch,4133 Woodlands Pkwy,,,Palm Harbor,FL,34685,727781-3888,727781-3881,,,,
Akumin Downingtown,150 E Pennsylvania Ave,Ste300,,Downingtown,PA,19335,610518-6300,610518-0600,,,,
Akumin Haverford,600 East Township Line Road,,,Havertown,PA,19083,610446-1800,610446-3408,,,,
Akumin Hollywood,3800-B Johnson St.,,,Hollywood,FL,33021,954964-3800,954986-8153,,,,
Akumin Imaging Texas, LLC,dba Southwest X-Ray,10501 Gateway Blvd West,Ste 150A,El Paso,TX,79925,915544-7300,915544-7301,,,
Akumin Imaging Texas, LLC,dba Southwest X-ray,9870 Gateway Boulevard North,Suite E,El Paso,TX,79924,915544-7300,915544-7301,,,
Akumin Imaging Texas, LLC,dba Southwest X-Ray,4930 Osborne Dr,Suite H,El Paso,TX,79922,915544-7300,915544-7301,,,
Akumin Imaging Texas, LLC,dba Southwest X-Ray,2204 Joe Battle Boulevard,Suite 107,El Paso,TX,79938,915544-7300,915544-7301,,,
Akumin Lake Worth,5051 S Congress Ave,,,Lake Worth,FL,33461,561795-55581509,561965-5827,,,,
Akumin Largo,13787 South Belcher Rd., Ste. 300,,,Largo,FL,33771,727531-5444,727531-1122,,,
Akumin Northside,1215 Dunn Ave., Ste. 4,,,Jacksonville,FL,32218,904696-8400,904696-8499,,,
Akumin Pines,701 NW 179th Ave., Ste 102,,,Pembroke Pines,FL,33029,954538-0050,954538-0036,,,
Akumin Plantation,8300 W Sunrise Blvd.,,,Plantation,FL,33322,954577-6000,954577-5910,,,,
Akumin Riverview,7329 Highway 301 S,,,Riverview,FL,33578,813677-2020,813677-3888,,,,
Akumin Royal Palm,8110 Royal Palm Blvd Ste 100,,,Coral Springs,FL,33065,954341-42002211,954341-5360,,,,
Akumin Sarasota,4917 Clark Rd,,,Sarasota,FL,34233,941927-7711,941927-7710,,,,
Akumin Tampa,5107 N. Armenia Ave Bldg B,,,Tampa,FL,33603,813874-2999,813874-7673,,,,
